---------- Office 2007 -------------
DocumentFormat.OpenXml.Office2010.Ink, DocumentFormat.OpenXml.Ink.Y2010.Main
DocumentFormat.OpenXml.Office2010.CustomUI, DocumentFormat.OpenXml.Office.Y2009.M07.CustomUI
DocumentFormat.OpenXml.Office2010.Drawing.Diagram, DocumentFormat.OpenXml.Office.Drawing.Y2010.Diagram
DocumentFormat.OpenXml.Office2010.Word.DrawingCanvas, DocumentFormat.OpenXml.Office.Word.Y2010.WordprocessingCanvas
DocumentFormat.OpenXml.Office2010.Word.DrawingGroup, DocumentFormat.OpenXml.Office.Word.Y2010.WordprocessingGroup
DocumentFormat.OpenXml.Office2010.Word.DrawingShape, DocumentFormat.OpenXml.Office.Word.Y2010.WordprocessingShape
DocumentFormat.OpenXml.Office2010.Drawing.Slicer, DocumentFormat.OpenXml.Office.Drawing.Y2010.Slicer
DocumentFormat.OpenXml.Office2010.AudioVideo, DocumentFormat.OpenXml.Office.Y2007.M06.D19.AudioVideo
DocumentFormat.OpenXml.Office2010.Drawing.LegacyCompatibility, DocumentFormat.OpenXml.Office.Drawing.Y2010.Compatibility
---------- Office 15 Extensions -------------
DocumentFormat.OpenXml.Office2013.Drawing.Chart, DocumentFormat.OpenXml.Office.Drawing.Y2012.Chart
DocumentFormat.OpenXml.Office2013.Drawing.ChartStyle, DocumentFormat.OpenXml.Office.Drawing.Y2012.ChartStyle
DocumentFormat.OpenXml.Office2013.WebExtension, DocumentFormat.OpenXml.Office.WebExtensions.WebExtensions.Y2010.M11
DocumentFormat.OpenXml.Office2013.Drawing, DocumentFormat.OpenXml.Office.Drawing.Y2012.Main
DocumentFormat.OpenXml.Office2013.PowerPoint, DocumentFormat.OpenXml.Office.PowerPoint.Y2012.Main
DocumentFormat.OpenXml.Office2013.Word, DocumentFormat.OpenXml.Office.Word.Y2012.WordML
DocumentFormat.OpenXml.Office2013.WebExtentionPane, DocumentFormat.OpenXml.Office.WebExtensions.TaskPanes.Y2010.M11
DocumentFormat.OpenXml.Office2013.Excel, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2010.M11.Main
DocumentFormat.OpenXml.Office2010.ExcelAc, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2011.M01.Ac
DocumentFormat.OpenXml.Office2013.ExcelAc, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2010.M11.Ac
DocumentFormat.OpenXml.Office2013.Theme, DocumentFormat.OpenXml.Office.ThemeML.Y2012.Main
DocumentFormat.OpenXml.Office2013.MetroDictionary, DocumentFormat.OpenXml.Office.Y2011.M09.MetroDictionary
DocumentFormat.OpenXml.Office2013.Word.Drawing, DocumentFormat.OpenXml.Office.Y2012.WordprocessingDrawing
DocumentFormat.OpenXml.Office2013.Project, DocumentFormat.OpenXml.ProjectML.Y2013.Main
DocumentFormat.OpenXml.Office2013.PowerPoint.Roaming, DocumentFormat.OpenXml.Office.PowerPoint.Y2012.RoamingSettings
DocumentFormat.OpenXml.Office2013.Drawing.TimeSlicer, DocumentFormat.OpenXml.Office.Drawing.Y2012.TimeSlicer
---------- Office 16 Extensions -------------
DocumentFormat.OpenXml.Office2016.Presentation, DocumentFormat.OpenXml.Office.PowerPoint.Y2015.Main 
DocumentFormat.OpenXml.Office2016.Drawing, DocumentFormat.OpenXml.Office.Drawing.Y2014.Main
DocumentFormat.OpenXml.Office2016.Drawing.ChartDrawing, DocumentFormat.OpenXml.Office.Drawing.Y2014.ChartEx
DocumentFormat.OpenXml.Office2016.Drawing.ChartsAc, DocumentFormat.OpenXml.Office.Drawing.Y2014.Chart.Ac
DocumentFormat.OpenXml.Office2016.Drawing.Charts, DocumentFormat.OpenXml.Office.Drawing.Y2014.Chart
DocumentFormat.OpenXml.Office2016.Excel, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2014.Revision
DocumentFormat.OpenXml.Office2016.ExcelAc, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2014.M11.Main
DocumentFormat.OpenXml.Office2016.Excel2, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2015.M02.Main
DocumentFormat.OpenXml.Office2016.Word.Symex, DocumentFormat.OpenXml.Office.Word.Y2015.WordML.Symex
DocumentFormat.OpenXml.Office2016.Drawing.Command, DocumentFormat.OpenXml.Office.Drawing.Y2013.Main.Command
DocumentFormat.OpenXml.Office2016.Presentation.Command, DocumentFormat.OpenXml.Office.PowerPoint.Y2013.Main.Command
---------- Office 19 Extensions -------------
DocumentFormat.OpenXml.Office2019.Presentation, DocumentFormat.OpenXml.Office.PowerPoint.Y2017.M03.Main
DocumentFormat.OpenXml.Office2019.Presentation, DocumentFormat.OpenXml.Office.PowerPoint.Y2017.M10.Main
DocumentFormat.OpenXml.Office2019.Presentation, DocumentFormat.OpenXml.Office.PowerPoint.Y2018.M4.Main
DocumentFormat.OpenXml.Office2019.Excel.PivotDefaultLayout, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.PivotDefaultLayout
DocumentFormat.OpenXml.Office2019.Excel, DocumentFormat.OpenXml.Office.SpreadsheetML.Y2016.M01.Main
